#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-20.22, 14.41, -6.71 	-0.08, 1.93, -6.90 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.72 	-0.13, 1.97, -6.90 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.23, 14.41, -6.72 	-0.25, 1.94, -6.88 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.23, 14.41, -6.72 	-0.34, 1.88, -6.82 	0.00, 10.00 	14,49,3,689		-nan,inf	0,0 	0
0       	-20.23, 14.41, -6.72 	-0.38, 1.83, -6.76 	0.00, 10.00 	14,49,3,689		-nan,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.38, 1.80, -6.76 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.40, 1.77, -6.75 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.44, 1.73, -6.76 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.39, 1.73, -6.74 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.39, 1.75, -6.75 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.39, 1.75, -6.75 	0.00, 10.00 	14,49,3,689		inf,-nan	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.35, 1.75, -6.76 	0.00, 10.00 	14,49,3,689		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.35, 1.76, -6.76 	0.00, 10.00 	14,49,3,689		-nan,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.36, 1.77, -6.76 	0.00, 10.00 	14,49,3,689		-nan,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.36, 1.77, -6.75 	0.00, 10.00 	14,49,3,689		inf,-nan	0,0 	0
0       	-20.20, 14.40, -6.71 	-0.37, 1.75, -6.75 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.21, 14.41, -6.72 	-0.40, 1.76, -6.73 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.39, 1.76, -6.75 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.20, 14.40, -6.71 	-0.34, 1.74, -6.75 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.22, 14.41, -6.71 	-0.39, 1.75, -6.76 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.35, 1.75, -6.79 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.21, 14.42, -6.72 	-0.38, 1.79, -6.83 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.72 	-0.41, 1.78, -6.84 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.72 	-0.41, 1.75, -6.81 	0.00, 10.00 	14,49,3,690		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.72 	-0.51, 1.67, -6.77 	0.00, 10.00 	14,49,3,690		-nan,inf	0,0 	0
0       	-20.21, 14.40, -6.72 	-0.52, 1.63, -6.77 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.21, 14.40, -6.71 	-0.61, 1.55, -6.72 	0.00, 10.00 	14,49,3,690		-nan,inf	0,0 	0
0       	-20.21, 14.41, -6.71 	-0.62, 1.39, -6.68 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.58, 1.06, -6.65 	0.00, 10.00 	14,49,3,690		inf,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.52, 0.75, -6.74 	0.00, 10.00 	14,49,3,690		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.47, 0.65, -6.83 	0.00, 10.00 	14,49,3,690		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.52, 0.60, -6.88 	0.00, 10.00 	14,49,3,690		-nan,inf	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.52, 0.60, -6.85 	0.00, 10.00 	14,49,3,690		-nan,-nan	0,0 	0
0       	-20.22, 14.42, -6.71 	-0.55, 0.57, -6.86 	0.00, 10.00 	14,49,3,690		-nan,inf	0,0 	0
