#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-19.80, 13.66, -6.71 	25.19, 27.38, -8.69 	0.00, 40.00 	14,48,40,946		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.18, 27.38, -8.69 	0.00, 40.00 	14,48,40,946		inf,inf	0,0 	0
0       	-19.78, 13.68, -6.71 	25.19, 27.38, -8.69 	0.00, 40.00 	14,48,40,946		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.20, 27.39, -8.69 	0.00, 40.00 	14,48,40,946		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.20, 27.39, -8.68 	0.00, 40.00 	14,48,40,946		-nan,-nan	0,0 	0
0       	-19.80, 13.67, -6.71 	25.23, 27.40, -8.69 	0.00, 40.00 	14,48,40,946		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.23, 27.42, -8.69 	0.00, 40.00 	14,48,40,946		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.24, 27.42, -8.70 	0.00, 40.00 	14,48,40,946		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.24, 27.42, -8.69 	0.00, 40.00 	14,48,40,946		-nan,-nan	0,0 	0
0       	-19.80, 13.67, -6.71 	25.22, 27.42, -8.69 	0.00, 40.00 	14,48,40,947		-nan,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.24, 27.42, -8.69 	0.00, 40.00 	14,48,40,947		-nan,inf	0,0 	0
0       	-19.80, 13.66, -6.70 	25.23, 27.42, -8.69 	0.00, 40.00 	14,48,40,947		inf,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.24, 27.43, -8.69 	0.00, 40.00 	14,48,40,947		-nan,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.23, 27.42, -8.69 	0.00, 40.00 	14,48,40,947		-nan,inf	0,0 	0
0       	-19.78, 13.67, -6.71 	25.22, 27.42, -8.69 	0.00, 40.00 	14,48,40,947		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.24, 27.42, -8.69 	0.00, 40.00 	14,48,40,947		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.24, 27.43, -8.69 	0.00, 40.00 	14,48,40,947		-nan,inf	0,0 	0
0       	-19.80, 13.66, -6.71 	25.26, 27.44, -8.69 	0.00, 40.00 	14,48,40,947		inf,inf	0,0 	0
0       	-19.78, 13.67, -6.71 	25.25, 27.43, -8.69 	0.00, 40.00 	14,48,40,947		inf,inf	0,0 	0
0       	-19.78, 13.67, -6.71 	25.25, 27.44, -8.68 	0.00, 40.00 	14,48,40,947		-nan,inf	0,0 	0
0       	-19.78, 13.67, -6.71 	25.25, 27.42, -8.68 	0.00, 40.00 	14,48,40,947		-nan,inf	0,0 	0
0       	-19.78, 13.67, -6.71 	25.24, 27.42, -8.68 	0.00, 40.00 	14,48,40,947		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.71 	25.23, 27.42, -8.68 	0.00, 40.00 	14,48,40,947		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.71 	25.23, 27.41, -8.67 	0.00, 40.00 	14,48,40,947		inf,inf	0,0 	0
0       	-19.81, 13.67, -6.71 	25.23, 27.43, -8.68 	0.00, 40.00 	14,48,40,947		inf,inf	0,0 	0
0       	-19.81, 13.67, -6.71 	25.22, 27.42, -8.68 	0.00, 40.00 	14,48,40,948		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.71 	25.22, 27.42, -8.68 	0.00, 40.00 	14,48,40,948		-nan,-nan	0,0 	0
0       	-19.81, 13.66, -6.71 	25.23, 27.42, -8.68 	0.00, 40.00 	14,48,40,948		inf,inf	0,0 	0
0       	-19.81, 13.66, -6.71 	25.24, 27.43, -8.68 	0.00, 40.00 	14,48,40,948		-nan,inf	0,0 	0
0       	-19.81, 13.66, -6.71 	25.24, 27.43, -8.67 	0.00, 40.00 	14,48,40,948		-nan,-nan	0,0 	0
0       	-19.81, 13.67, -6.72 	25.24, 27.43, -8.67 	0.00, 40.00 	14,48,40,948		inf,-nan	0,0 	0
0       	-19.81, 13.68, -6.72 	25.22, 27.42, -8.67 	0.00, 40.00 	14,48,40,948		inf,inf	0,0 	0
0       	-19.81, 13.68, -6.72 	25.19, 27.41, -8.67 	0.00, 40.00 	14,48,40,948		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.17, 27.41, -8.67 	0.00, 40.00 	14,48,40,948		inf,inf	0,0 	0
0       	-19.81, 13.67, -6.71 	25.18, 27.42, -8.67 	0.00, 40.00 	14,48,40,948		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.71 	25.18, 27.41, -8.66 	0.00, 40.00 	14,48,40,948		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.71 	25.20, 27.41, -8.67 	0.00, 40.00 	14,48,40,948		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.71 	25.22, 27.42, -8.66 	0.00, 40.00 	14,48,40,948		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.71 	25.23, 27.43, -8.66 	0.00, 40.00 	14,48,40,948		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.72 	25.24, 27.43, -8.66 	0.00, 40.00 	14,48,40,948		inf,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.23, 27.44, -8.66 	0.00, 40.00 	14,48,40,948		inf,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.22, 27.44, -8.66 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.23, 27.44, -8.66 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.22, 27.44, -8.65 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.20, 27.42, -8.65 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.17, 27.42, -8.65 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.71 	25.17, 27.42, -8.64 	0.00, 40.00 	14,48,40,949		inf,-nan	0,0 	0
0       	-19.82, 13.66, -6.71 	25.18, 27.42, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.71 	25.17, 27.42, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.71 	25.17, 27.43, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.17, 27.44, -8.64 	0.00, 40.00 	14,48,40,949		inf,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.17, 27.43, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.16, 27.43, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.14, 27.43, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.12, 27.42, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.12, 27.43, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.12, 27.43, -8.64 	0.00, 40.00 	14,48,40,949		-nan,-nan	0,0 	0
0       	-19.81, 13.67, -6.72 	25.13, 27.42, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	25.14, 27.43, -8.64 	0.00, 40.00 	14,48,40,949		inf,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	25.15, 27.43, -8.64 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	25.15, 27.44, -8.63 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.81, 13.66, -6.72 	25.16, 27.44, -8.62 	0.00, 40.00 	14,48,40,949		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.72 	25.14, 27.43, -8.63 	0.00, 40.00 	14,48,40,949		inf,inf	0,0 	0
0       	-19.82, 13.66, -6.73 	25.14, 27.44, -8.63 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.73 	25.13, 27.44, -8.63 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.80, 13.67, -6.73 	25.12, 27.44, -8.62 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.82, 13.66, -6.72 	25.09, 27.43, -8.62 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.82, 13.66, -6.72 	25.11, 27.42, -8.62 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.72 	25.09, 27.41, -8.61 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.82, 13.66, -6.72 	25.09, 27.42, -8.61 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.82, 13.66, -6.72 	25.11, 27.42, -8.60 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.72 	25.09, 27.43, -8.59 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.81, 13.66, -6.73 	25.06, 27.43, -8.59 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.81, 13.67, -6.73 	25.03, 27.41, -8.57 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.81, 13.67, -6.73 	25.01, 27.41, -8.58 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.73 	24.98, 27.39, -8.56 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.73 	24.98, 27.38, -8.57 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.73 	25.01, 27.40, -8.56 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.72 	25.01, 27.40, -8.56 	0.00, 40.00 	14,48,40,950		inf,-nan	0,0 	0
0       	-19.82, 13.65, -6.72 	25.03, 27.43, -8.55 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.82, 13.65, -6.72 	25.03, 27.42, -8.54 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.73 	25.01, 27.43, -8.54 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.82, 13.66, -6.74 	24.98, 27.42, -8.53 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.82, 13.66, -6.74 	24.95, 27.42, -8.52 	0.00, 40.00 	14,48,40,950		-nan,inf	0,0 	0
0       	-19.81, 13.67, -6.73 	24.92, 27.43, -8.51 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
0       	-19.82, 13.66, -6.72 	24.88, 27.42, -8.52 	0.00, 40.00 	14,48,40,950		inf,inf	0,0 	0
