#Time 	Sensor1         	Sensor2         	Target         
#================================================================

7551    	-0.28, -15.47 	-0.70, -16.26 	0.00, -6.58
7566    	-0.28, -15.47 	-0.69, -16.13 	0.00, -6.58
7581    	-0.28, -15.47 	-0.69, -16.13 	0.00, -6.58
7664    	-0.26, -15.42 	-1.55, -16.18 	0.00, -6.58
7680    	-0.26, -15.42 	-0.70, -16.21 	0.00, -6.58
7696    	-0.28, -15.43 	-0.71, -16.21 	0.00, -6.58
7712    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
7798    	-0.46, -10.17 	-0.71, -16.21 	0.00, -6.58
7814    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
7838    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
7853    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
7868    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
7883    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
7966    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
7982    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
7997    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
8012    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
8027    	-0.26, -15.42 	-94.60, 353.31 	0.00, -6.58
8110    	-0.26, -15.42 	-0.70, -16.22 	0.00, -6.58
8126    	-0.26, -15.42 	-0.70, -16.22 	0.00, -6.58
8142    	-0.26, -15.42 	-0.71, -16.21 	0.00, -6.58
8158    	-0.27, -15.42 	-0.71, -16.21 	0.00, -6.58
8236    	-0.46, -10.29 	-1.55, -16.18 	0.00, -6.58
8251    	-0.47, -10.29 	-1.55, -16.18 	0.00, -6.58
8266    	-0.47, -10.29 	-1.55, -16.18 	0.00, -6.58
8281    	-0.27, -15.43 	-0.71, -16.13 	0.00, -6.58
8296    	-0.26, -15.42 	-0.71, -16.13 	0.00, -6.58
8377    	-0.27, -15.46 	-0.71, -16.17 	0.00, -6.58
8393    	-0.27, -15.46 	-0.71, -16.17 	0.00, -6.58
8409    	-0.27, -15.46 	-0.71, -16.17 	0.00, -6.58
8425    	-0.26, -15.42 	-0.70, -16.13 	0.00, -6.58
8503    	-0.29, -15.42 	-0.70, -16.25 	0.00, -6.58
8518    	-0.27, -15.42 	-0.70, -16.25 	0.00, -6.58
8533    	-0.27, -15.46 	-0.70, -16.25 	0.00, -6.58
8548    	-0.47, -10.30 	-0.70, -16.25 	0.00, -6.58
8563    	-0.27, -15.46 	-0.70, -16.25 	0.00, -6.58
8643    	-0.26, -15.46 	-0.70, -16.21 	0.00, -6.58
8659    	-0.45, -10.30 	-0.71, -16.13 	0.00, -6.58
8675    	-0.26, -15.42 	-0.70, -16.21 	0.00, -6.58
8691    	-0.26, -15.42 	-0.70, -16.21 	0.00, -6.58
8770    	-0.25, -15.50 	-0.71, -16.01 	0.00, -6.58
8785    	-0.25, -15.50 	-0.71, -16.13 	0.00, -6.58
8800    	-0.25, -15.50 	-0.71, -16.13 	0.00, -6.58
8815    	-0.25, -15.50 	-0.70, -16.21 	0.00, -6.58
8830    	-0.26, -15.50 	-0.71, -16.13 	0.00, -6.58
8911    	-0.25, -15.62 	-0.70, -16.17 	0.00, -6.58
