#Time 	Sensor1         	Sensor2         	Target         
#================================================================

7539    	0.02, -14.47 	-11.81, -14.65 	0.00, 2.08
7555    	0.02, -14.47 	-11.82, -14.73 	0.00, 2.08
7618    	0.02, -14.47 	-11.82, -14.73 	0.00, 2.08
7642    	0.02, -14.47 	-11.81, -14.73 	0.00, 2.08
7659    	0.02, -14.47 	-11.82, -14.73 	0.00, 2.08
7675    	0.02, -14.47 	-11.82, -14.73 	0.00, 2.08
7691    	0.02, -14.47 	-11.82, -14.69 	0.00, 2.08
7707    	0.02, -14.47 	-11.82, -14.69 	0.00, 2.08
7793    	0.02, -14.47 	-11.82, -14.69 	0.00, 2.08
7817    	0.03, -14.48 	-11.82, -14.69 	0.00, 2.08
7834    	0.03, -14.48 	-11.82, -14.69 	0.00, 2.08
7850    	0.03, -14.48 	-11.82, -14.57 	0.00, 2.08
7867    	0.04, -14.48 	-11.82, -14.57 	0.00, 2.08
7969    	0.01, -14.44 	-11.83, -14.65 	0.00, 2.08
7986    	0.01, -14.44 	-11.82, -14.65 	0.00, 2.08
8002    	0.01, -14.44 	-11.82, -14.65 	0.00, 2.08
8019    	0.01, -14.44 	-11.81, -14.65 	0.00, 2.08
8034    	0.02, -14.44 	-11.83, -14.61 	0.00, 2.08
8058    	0.02, -14.44 	-11.83, -14.61 	0.00, 2.08
8074    	0.02, -14.44 	-11.83, -14.61 	0.00, 2.08
8155    	0.02, -14.41 	-11.82, -14.65 	0.00, 2.08
8171    	0.02, -14.41 	-11.84, -14.65 	0.00, 2.08
8187    	0.02, -14.41 	-11.84, -14.65 	0.00, 2.08
8203    	0.03, -14.40 	-11.84, -14.65 	0.00, 2.08
8219    	0.02, -14.40 	-11.83, -14.73 	0.00, 2.08
8297    	0.03, -14.47 	-11.81, -14.73 	0.00, 2.08
8313    	0.03, -14.40 	-11.82, -14.76 	0.00, 2.08
8329    	0.04, -14.52 	-11.82, -14.76 	0.00, 2.08
8345    	0.04, -14.52 	-11.82, -14.76 	0.00, 2.08
