#Time 	Sensor1         	Sensor2         	Target         
#================================================================

6221    	0.03, -15.01 	-11.80, -14.68 	-9.15, -4.23
6237    	0.03, -15.01 	-11.81, -14.65 	-9.15, -4.23
6253    	0.05, -15.06 	-11.81, -14.68 	-9.15, -4.23
6270    	0.05, -14.96 	-11.81, -14.60 	-9.15, -4.23
6353    	0.04, -14.86 	-11.79, -14.72 	-9.15, -4.23
6369    	0.04, -14.83 	-11.79, -14.61 	-9.15, -4.23
6385    	0.03, -14.72 	-11.79, -14.61 	-9.15, -4.23
6402    	0.03, -14.68 	-11.80, -14.61 	-9.15, -4.23
6418    	0.02, -14.57 	-11.79, -14.65 	-9.15, -4.23
6500    	0.04, -14.60 	-11.79, -14.61 	-9.15, -4.23
6516    	0.04, -14.57 	-11.79, -14.61 	-9.15, -4.23
6532    	0.05, -14.56 	-11.80, -14.69 	-9.15, -4.23
6552    	0.05, -14.56 	-11.80, -14.69 	-9.15, -4.23
6568    	0.04, -14.60 	-11.80, -14.69 	-9.15, -4.23
6647    	0.04, -14.49 	-11.79, -14.73 	-9.15, -4.23
6663    	0.05, -14.61 	-11.79, -14.73 	-9.15, -4.23
6679    	0.04, -14.61 	-11.79, -14.77 	-9.15, -4.23
6695    	0.04, -14.49 	-11.79, -14.65 	-9.15, -4.23
6711    	0.04, -14.49 	-11.81, -14.65 	-9.15, -4.23
6788    	0.06, -14.49 	-11.79, -14.65 	-9.15, -4.23
6805    	0.04, -14.61 	-11.80, -14.69 	-9.15, -4.23
6825    	0.04, -14.61 	-11.79, -14.61 	-9.15, -4.23
6841    	0.04, -14.62 	-11.79, -14.61 	-9.15, -4.23
6857    	0.05, -14.62 	-11.79, -14.61 	-9.15, -4.23
6936    	0.05, -14.62 	-11.80, -14.69 	-9.15, -4.23
6953    	0.05, -14.62 	-11.80, -14.73 	-9.15, -4.23
6969    	0.03, -14.63 	-11.82, -14.73 	-9.15, -4.23
6986    	0.03, -14.63 	-11.82, -14.65 	-9.15, -4.23
7002    	0.04, -14.67 	-11.82, -14.65 	-9.15, -4.23
7085    	0.04, -14.55 	-11.82, -14.73 	-9.15, -4.23
