#Time 	Sensor1         	Sensor2         	Target         
#================================================================

5626    	0.01, -14.41 	-11.83, -14.65 	-12.20, -0.55
5643    	0.01, -14.41 	-11.83, -14.65 	-12.20, -0.55
5659    	0.01, -14.41 	-11.83, -14.65 	-12.20, -0.55
5675    	0.01, -14.41 	-11.83, -14.65 	-12.20, -0.55
5691    	0.01, -14.41 	-11.83, -14.65 	-12.20, -0.55
5767    	0.00, -14.32 	-11.85, -14.64 	-12.20, -0.55
5784    	0.01, -14.40 	-11.84, -14.60 	-12.20, -0.55
5804    	0.00, -14.45 	-11.85, -14.64 	-12.20, -0.55
5820    	-0.00, -14.37 	-11.84, -14.60 	-12.20, -0.55
5893    	0.02, -14.32 	-11.84, -14.60 	-12.20, -0.55
5917    	0.02, -14.40 	-11.84, -14.72 	-12.20, -0.55
5933    	0.02, -14.32 	-11.83, -14.72 	-12.20, -0.55
5949    	0.02, -14.32 	-11.83, -14.72 	-12.20, -0.55
5965    	0.02, -14.40 	-11.83, -14.72 	-12.20, -0.55
6041    	0.02, -14.40 	-11.84, -14.76 	-12.20, -0.55
6057    	0.02, -14.32 	-11.84, -14.76 	-12.20, -0.55
6073    	0.02, -14.32 	-11.84, -14.76 	-12.20, -0.55
6089    	0.02, -14.32 	-11.84, -14.76 	-12.20, -0.55
6105    	0.02, -14.32 	-11.85, -14.76 	-12.20, -0.55
6189    	0.02, -14.41 	-11.83, -14.72 	-12.20, -0.55
6205    	-0.00, -14.40 	-11.84, -14.73 	-12.20, -0.55
6221    	0.01, -14.41 	-11.84, -14.73 	-12.20, -0.55
6237    	0.00, -14.32 	-11.84, -14.73 	-12.20, -0.55
6253    	0.00, -14.32 	-11.84, -14.73 	-12.20, -0.55
6335    	0.00, -14.32 	-102.16, 340.62 	-12.20, -0.55
6351    	0.00, -14.32 	-11.84, -14.73 	-12.20, -0.55
6367    	0.00, -14.32 	-11.84, -14.73 	-12.20, -0.55
6383    	0.00, -14.37 	-11.84, -14.73 	-12.20, -0.55
6399    	0.00, -14.36 	-11.84, -14.73 	-12.20, -0.55
6476    	0.00, -14.44 	-11.84, -14.73 	-12.20, -0.55
6492    	0.00, -14.44 	-11.84, -14.73 	-12.20, -0.55
6508    	0.00, -14.44 	-11.84, -14.80 	-12.20, -0.55
6525    	0.00, -14.44 	-11.84, -14.80 	-12.20, -0.55
6541    	0.00, -14.44 	-11.84, -14.80 	-12.20, -0.55
6624    	0.00, -14.37 	-11.84, -14.76 	-12.20, -0.55
6641    	0.01, -14.49 	-11.84, -14.68 	-12.20, -0.55
6657    	0.01, -14.45 	-11.85, -14.68 	-12.20, -0.55
6673    	0.01, -14.45 	-11.84, -14.72 	-12.20, -0.55
