#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	3.21, -7.85, 1.38 	0.03, 0.75, -6.38 	0.00, 30.00 	11,29,9,942		inf,inf	0,0 	0
0       	2.38, -8.55, 1.45 	0.03, 0.75, -6.38 	0.00, 30.00 	11,29,9,942		inf,-nan	0,0 	0
0       	-0.85, -8.16, 2.14 	0.09, 0.76, -6.38 	0.00, 30.00 	11,29,9,942		inf,inf	0,0 	0
0       	-1.71, -7.83, 2.87 	0.09, 0.76, -6.39 	0.00, 30.00 	11,29,9,943		inf,-nan	0,0 	0
0       	0.44, -7.63, 3.08 	0.09, 0.76, -6.39 	0.00, 30.00 	11,29,9,943		inf,-nan	0,0 	0
0       	1.65, -7.42, 3.12 	0.09, 0.76, -6.39 	0.00, 30.00 	11,29,9,943		inf,-nan	0,0 	0
0       	1.35, -7.24, 3.31 	0.07, 0.78, -6.39 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	0.87, -7.16, 3.39 	0.07, 0.78, -6.39 	0.00, 30.00 	11,29,9,943		inf,-nan	0,0 	0
0       	0.90, -7.20, 3.29 	0.05, 0.77, -6.38 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	1.08, -7.19, 3.27 	0.06, 0.74, -6.39 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	1.26, -7.09, 3.37 	0.07, 0.74, -6.39 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	1.53, -7.09, 3.38 	0.07, 0.74, -6.39 	0.00, 30.00 	11,29,9,943		inf,-nan	0,0 	0
0       	1.77, -7.22, 3.20 	0.08, 0.77, -6.41 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	2.15, -7.20, 3.01 	0.07, 0.78, -6.42 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	2.45, -6.88, 2.94 	0.14, 0.74, -6.40 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	2.45, -6.61, 2.90 	0.15, 0.77, -6.42 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	2.32, -6.50, 2.88 	0.14, 0.79, -6.42 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	2.21, -6.42, 2.86 	0.14, 0.77, -6.41 	0.00, 30.00 	11,29,9,943		inf,inf	0,0 	0
0       	2.19, -6.42, 2.86 	0.14, 0.77, -6.41 	0.00, 30.00 	11,29,9,944		inf,-nan	0,0 	0
0       	2.18, -6.42, 2.86 	0.14, 0.77, -6.40 	0.00, 30.00 	11,29,9,944		inf,-nan	0,0 	0
0       	2.24, -6.42, 2.87 	0.09, 0.75, -6.40 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	2.46, -6.57, 2.83 	0.09, 0.75, -6.40 	0.00, 30.00 	11,29,9,944		inf,-nan	0,0 	0
0       	3.00, -6.88, 2.73 	0.13, 0.75, -6.39 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	3.34, -7.03, 2.42 	0.13, 0.75, -6.39 	0.00, 30.00 	11,29,9,944		inf,-nan	0,0 	0
0       	3.91, -6.94, 2.23 	0.10, 0.78, -6.39 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	3.69, -6.65, 2.41 	0.10, 0.77, -6.39 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	2.32, -6.41, 2.73 	0.15, 0.80, -6.39 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	0.53, -6.31, 2.80 	0.12, 0.78, -6.39 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	-0.27, -6.28, 2.65 	0.10, 0.75, -6.38 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	0.44, -6.30, 2.57 	0.05, 0.74, -6.37 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	1.49, -6.37, 2.55 	0.01, 0.74, -6.36 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	1.81, -6.39, 2.58 	0.01, 0.74, -6.36 	0.00, 30.00 	11,29,9,944		inf,-nan	0,0 	0
0       	1.68, -6.37, 2.80 	0.01, 0.75, -6.39 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	1.83, -6.39, 3.05 	0.03, 0.75, -6.38 	0.00, 30.00 	11,29,9,944		inf,inf	0,0 	0
0       	2.35, -6.41, 3.11 	0.03, 0.75, -6.38 	0.00, 30.00 	11,29,9,945		inf,-nan	0,0 	0
0       	2.83, -6.24, 3.08 	0.03, 0.75, -6.38 	0.00, 30.00 	11,29,9,945		inf,-nan	0,0 	0
0       	2.83, -6.10, 3.18 	0.03, 0.75, -6.38 	0.00, 30.00 	11,29,9,945		inf,-nan	0,0 	0
0       	2.66, -6.09, 3.29 	0.03, 0.75, -6.39 	0.00, 30.00 	11,29,9,945		inf,-nan	0,0 	0
0       	2.43, -6.12, 3.32 	0.09, 0.76, -6.39 	0.00, 30.00 	11,29,9,945		inf,inf	0,0 	0
0       	2.22, -6.12, 3.28 	0.09, 0.76, -6.39 	0.00, 30.00 	11,29,9,945		inf,-nan	0,0 	0
0       	2.16, -6.11, 3.26 	0.09, 0.76, -6.39 	0.00, 30.00 	11,29,9,945		inf,-nan	0,0 	0
