#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

0       	-1.89, -6.71, 5.15 	-2.82, -15.94, -1.98 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.89, -6.70, 5.15 	-3.03, -15.90, -1.99 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.90, -6.70, 5.15 	-3.19, -16.08, -1.96 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.89, -6.70, 5.15 	-3.35, -16.31, -1.92 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.89, -6.68, 5.15 	-3.47, -16.45, -1.85 	0.00, 10.00 	11,32,57,355		inf,inf	0,0 	0
0       	-1.89, -6.68, 5.15 	-3.50, -16.40, -1.80 	0.00, 10.00 	11,32,57,355		-nan,inf	0,0 	0
0       	-1.89, -6.68, 5.15 	-3.33, -16.26, -1.78 	0.00, 10.00 	11,32,57,355		-nan,inf	0,0 	0
0       	-1.90, -6.70, 5.15 	-3.24, -16.10, -1.78 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.88, -6.70, 5.15 	-3.19, -16.00, -1.77 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.88, -6.71, 5.15 	-3.20, -15.92, -1.75 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.85, -6.70, 5.15 	-3.31, -15.82, -1.75 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.86, -6.69, 5.15 	-3.48, -15.78, -1.75 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.83, -6.69, 5.15 	-3.72, -15.81, -1.76 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.83, -6.68, 5.16 	-3.88, -15.84, -1.78 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.83, -6.70, 5.15 	-4.01, -15.87, -1.76 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.84, -6.70, 5.15 	-4.01, -15.85, -1.75 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.84, -6.70, 5.15 	-3.95, -15.81, -1.74 	0.00, 10.00 	11,32,57,356		-nan,inf	0,0 	0
0       	-1.86, -6.71, 5.15 	-3.86, -15.71, -1.76 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.85, -6.70, 5.15 	-3.83, -15.56, -1.74 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.83, -6.69, 5.16 	-3.90, -15.43, -1.71 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.83, -6.69, 5.16 	-4.08, -15.33, -1.71 	0.00, 10.00 	11,32,57,356		-nan,inf	0,0 	0
0       	-1.81, -6.69, 5.16 	-4.25, -15.25, -1.65 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.81, -6.69, 5.16 	-4.40, -15.19, -1.63 	0.00, 10.00 	11,32,57,356		-nan,inf	0,0 	0
0       	-1.81, -6.69, 5.16 	-4.58, -15.20, -1.61 	0.00, 10.00 	11,32,57,356		-nan,inf	0,0 	0
0       	-1.81, -6.69, 5.16 	-4.74, -15.17, -1.59 	0.00, 10.00 	11,32,57,356		-nan,inf	0,0 	0
0       	-1.84, -6.69, 5.15 	-4.82, -15.14, -1.60 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.87, -6.68, 5.15 	-4.89, -15.16, -1.60 	0.00, 10.00 	11,32,57,356		inf,inf	0,0 	0
0       	-1.87, -6.68, 5.15 	-4.89, -15.17, -1.60 	0.00, 10.00 	11,32,57,356		-nan,inf	0,0 	0
0       	-1.84, -6.69, 5.16 	-4.87, -15.17, -1.59 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
0       	-1.83, -6.70, 5.17 	-4.93, -15.10, -1.56 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
0       	-1.83, -6.70, 5.17 	-4.99, -15.02, -1.53 	0.00, 10.00 	11,32,57,357		-nan,inf	0,0 	0
0       	-1.88, -6.71, 5.17 	-5.08, -14.96, -1.51 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
0       	-1.89, -6.71, 5.17 	-5.22, -14.89, -1.49 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
0       	-1.89, -6.70, 5.16 	-5.30, -14.83, -1.48 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
0       	-1.88, -6.69, 5.16 	-5.39, -14.82, -1.48 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
0       	-1.88, -6.69, 5.16 	-5.48, -14.84, -1.47 	0.00, 10.00 	11,32,57,357		-nan,inf	0,0 	0
0       	-1.89, -6.68, 5.16 	-5.50, -14.85, -1.49 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
0       	-1.86, -6.68, 5.16 	-5.46, -14.87, -1.51 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
0       	-1.86, -6.68, 5.16 	-5.41, -14.83, -1.51 	0.00, 10.00 	11,32,57,357		-nan,inf	0,0 	0
0       	-1.82, -6.69, 5.16 	-5.40, -14.78, -1.50 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
0       	-1.82, -6.69, 5.16 	-5.38, -14.70, -1.50 	0.00, 10.00 	11,32,57,357		-nan,inf	0,0 	0
0       	-1.83, -6.70, 5.16 	-5.38, -14.62, -1.48 	0.00, 10.00 	11,32,57,357		inf,inf	0,0 	0
